skill_a,skill_b,cooccur,meaning,relation
Hadoop,Kafka,0.389,0.466,complements
Java,SQL,0.387,0.417,complements
Angular,JavaScript,0.387,0.474,complements
CI/CD,DevOps,0.384,0.573,complements
Docker,Java,0.384,0.272,complements
CISSP,Cybersecurity,0.384,0.348,complements
Node.js,React,0.383,0.445,complements
Hive,Kafka,0.383,0.383,complements
Hadoop,Scala,0.382,0.373,complements
NoSQL,SQL,0.381,0.371,complements
Ansible,Segment,0.38,0.271,complements
AWS,Agile / Scrum,0.379,0.151,complements
Machine Learning,TensorFlow,0.378,0.358,complements
Data Visualization,R,0.376,0.382,complements
Linux,Windows,0.375,0.702,complements
Big Data,Hadoop,0.374,0.661,complements
HTML,React,0.373,0.395,complements
Java,Kubernetes,0.373,0.245,complements
Big Data,Spark,0.373,0.473,complements
Agile / Scrum,SQL,0.372,0.015,complements
Java,JavaScript,0.372,0.564,complements
Kubernetes,Python,0.371,0.263,complements
Cassandra,Redshift,0.371,0.364,complements
Java,Scala,0.37,0.528,complements
Docker,Python,0.369,0.165,complements
Jupyter,Pandas,0.368,0.37,complements
NoSQL,Scala,0.367,0.291,complements
Prototyping,User Research,0.366,0.391,complements
Angular,HTML,0.364,0.393,complements
VMware,Windows,0.363,0.564,complements
Machine Learning,PyTorch,0.362,0.358,complements
Data Modeling,Data Warehousing,0.36,0.489,complements
Kubernetes,Microservices,0.359,0.567,complements
Figma,User Research,0.358,0.456,complements
AWS,Go,0.358,0.333,complements
Go,Java,0.355,0.688,complements
NoSQL,Python,0.35,0.274,complements
Data Analysis,SQL,0.347,0.286,complements
AWS,SQL,0.347,0.16,complements
Data Analysis,Tableau,0.347,0.229,complements
NumPy,TensorFlow,0.347,0.206,complements
R,SAS,0.346,0.472,complements
MySQL,PostgreSQL,0.346,1.0,substitutes
Redshift,Spark,0.345,0.495,complements
Agile / Scrum,Python,0.345,0.175,complements
Agile / Scrum,JavaScript,0.344,0.126,complements
Git,Jenkins,0.344,0.274,complements
Hadoop,Redshift,0.344,0.36,complements
Java,Microservices,0.343,0.422,complements
Figma,Prototyping,0.34,0.45,complements
Cassandra,MySQL,0.338,0.304,complements
Incident Response,SIEM,0.337,0.484,complements
Docker,Microservices,0.336,0.521,complements
Data Warehousing,Snowflake,0.336,0.472,complements
Node.js,TypeScript,0.336,0.542,complements
Azure,DevOps,0.335,0.275,complements
Machine Learning,NLP,0.335,0.339,complements
Hive,Scala,0.334,0.385,complements
Active Directory,VMware,0.334,0.302,complements
Kubernetes,Terraform,0.334,0.477,complements
CI/CD,Jenkins,0.333,0.497,complements
C++,Python,0.333,0.514,complements
Snowflake,Spark,0.333,0.461,complements
SQL,Tableau,0.331,0.311,complements
MongoDB,PostgreSQL,0.331,0.497,complements
Incident Response,Penetration Testing,0.329,0.488,complements
CSS,React,0.329,0.475,complements
Go,NoSQL,0.327,0.22,complements
AWS,Node.js,0.326,0.268,complements
Cybersecurity,Incident Response,0.325,0.407,complements
Python,Spark,0.324,0.368,complements
Microservices,NoSQL,0.324,0.212,complements
Docker,Node.js,0.324,0.21,complements
MLflow,NumPy,0.323,0.165,complements
Cassandra,NoSQL,0.322,0.588,complements
PowerShell,Windows,0.322,0.299,complements
Docker,Jenkins,0.322,0.321,complements
Azure,Python,0.322,0.304,complements
Data Visualization,SQL,0.321,0.277,complements
Agile / Scrum,NoSQL,0.321,0.106,complements
JavaScript,Node.js,0.32,0.678,complements
Python,Scala,0.32,0.605,complements
Azure,SQL,0.318,0.16,complements
Cassandra,Spark,0.315,0.527,complements
CI/CD,Kubernetes,0.315,0.368,complements
Data Analysis,Power BI,0.315,0.259,complements
Hadoop,NoSQL,0.314,0.28,complements
Data Governance,Data Modeling,0.312,0.467,complements
JavaScript,SQL,0.312,0.365,complements
Python,R,0.312,0.471,complements
Agile / Scrum,Docker,0.311,0.07,complements
Agile / Scrum,Azure,0.31,0.151,complements
AWS,Microservices,0.309,0.44,complements
Docker,TypeScript,0.309,0.198,complements
Pandas,TensorFlow,0.307,0.167,complements
GCP,Kubernetes,0.306,0.421,complements
GCP,Python,0.306,0.304,complements
Git,Jira,0.306,0.537,complements
Go,TypeScript,0.304,0.515,complements
Angular,TypeScript,0.304,0.466,complements
Airflow,Spark,0.304,0.48,complements
Redshift,Scala,0.303,0.337,complements
Hive,Snowflake,0.301,0.501,complements
Linux,Unix,0.301,0.606,complements
MLflow,Pandas,0.3,0.209,complements
GCP,Java,0.3,0.258,complements
Power BI,SQL,0.3,0.338,complements
Java,Spring,0.299,0.546,complements
AWS,TypeScript,0.299,0.151,complements
Data Warehousing,Redshift,0.299,0.393,complements
JavaScript,REST API,0.297,0.577,complements
Agile / Scrum,DevOps,0.297,0.554,complements
Kafka,NoSQL,0.297,0.231,complements
Azure,Kubernetes,0.296,0.421,complements
NoSQL,Spark,0.296,0.275,complements
HTML,jQuery,0.296,0.569,complements
NLP,TensorFlow,0.296,0.391,complements
Docker,SQL,0.296,0.032,complements
Data Governance,Data Warehousing,0.295,0.412,complements
JavaScript,jQuery,0.295,0.51,complements
Kafka,Redshift,0.294,0.279,complements
Deep Learning,NLP,0.294,0.327,complements
Data Analysis,R,0.294,0.128,complements
Hive,MySQL,0.292,0.535,complements
Docker,GCP,0.291,0.26,complements
Kubernetes,Node.js,0.291,0.206,complements
CI/CD,Docker,0.29,0.316,complements
DevOps,Jenkins,0.29,0.469,complements
MySQL,Redshift,0.29,0.46,complements
Kubernetes,TypeScript,0.29,0.09,complements
Agile / Scrum,Kubernetes,0.29,0.259,complements
AWS,Scala,0.289,0.375,complements
Docker,Terraform,0.289,0.377,complements
GCP,NoSQL,0.288,0.356,complements
Agile / Scrum,HTML,0.288,0.085,complements
Hadoop,Snowflake,0.287,0.383,complements
C++,Linux,0.287,0.455,complements
DevOps,Kubernetes,0.287,0.352,complements
Agile / Scrum,Jira,0.286,0.403,complements
HTML,Java,0.285,0.343,complements
Data Pipeline,Spark,0.285,0.431,complements
Docker,JavaScript,0.285,0.315,complements
MongoDB,MySQL,0.284,0.497,complements
R,SQL,0.284,0.343,complements
Jenkins,Kubernetes,0.282,0.541,complements
CI/CD,Git,0.282,0.462,complements
Azure,Docker,0.281,0.26,complements
JSON,REST API,0.279,0.385,complements
Kafka,Snowflake,0.279,0.276,complements
Airflow,Snowflake,0.279,0.351,complements
Machine Learning,Spark,0.277,0.152,complements
AWS,JavaScript,0.277,0.371,complements
Java,Kafka,0.277,0.222,complements
Big Data,Scala,0.277,0.383,complements
LLMs / GenAI,NLP,0.277,0.421,complements
AWS,DevOps,0.277,0.275,complements
Kafka,Scala,0.276,0.321,complements
HTML,SQL,0.276,0.276,complements
Cassandra,Snowflake,0.276,0.382,complements
Docker,Git,0.276,0.273,complements
DevOps,Python,0.276,0.399,complements
Azure,Java,0.276,0.258,complements
Java,Node.js,0.275,0.328,complements
DevOps,Terraform,0.274,0.385,complements
Kubernetes,SQL,0.274,0.027,complements
GraphQL,TypeScript,0.274,0.333,complements
Angular,CSS,0.273,0.419,complements
Go,Scala,0.273,0.629,complements
Go,Node.js,0.273,0.446,complements
Data Warehousing,Hadoop,0.273,0.346,complements
Hive,NoSQL,0.273,0.374,complements
Power BI,R,0.272,0.323,complements
NoSQL,Node.js,0.271,0.119,complements
Data Modeling,SQL,0.27,0.528,complements
Data Warehousing,Spark,0.27,0.272,complements
CI/CD,Python,0.27,0.318,complements
Data Warehousing,SQL,0.27,0.359,complements
Linux,Python,0.27,0.379,complements
Jenkins,Terraform,0.27,0.484,complements
C++,Java,0.269,0.489,complements
Data Analysis,Python,0.268,0.294,complements
C#,JavaScript,0.268,0.628,complements
Cybersecurity,Risk Management,0.268,0.343,complements
Git,JavaScript,0.268,0.417,complements
MLflow,TensorFlow,0.267,0.272,complements
NLP,PyTorch,0.267,0.391,complements
Ansible,Jenkins,0.266,0.682,complements
Machine Learning,R,0.266,0.205,complements
CSS,jQuery,0.265,0.647,complements
Hadoop,Python,0.265,0.307,complements
MySQL,PHP,0.264,0.315,complements
Data Modeling,ETL,0.264,0.441,complements
Agile / Scrum,Microservices,0.264,0.215,complements
Python,Terraform,0.264,0.406,complements
DevOps,Docker,0.263,0.247,complements
Airflow,dbt,0.263,0.342,complements
Scala,Snowflake,0.263,0.263,complements
Azure,NoSQL,0.263,0.356,complements
C#,SQL,0.263,0.352,complements
Agile / Scrum,TypeScript,0.263,0.04,complements
Big Data,Machine Learning,0.262,0.303,complements
Data Modeling,Data Visualization,0.262,0.41,complements
Big Data,Data Warehousing,0.262,0.485,complements
Data Warehousing,ETL,0.262,0.424,complements
AWS,Terraform,0.261,0.54,complements
Hadoop,MySQL,0.26,0.211,complements
Agile / Scrum,Node.js,0.26,0.039,complements
AWS,CI/CD,0.259,0.196,complements
Fivetran,dbt,0.259,0.625,complements
Agile / Scrum,CI/CD,0.258,0.421,complements
Java,Jenkins,0.257,0.348,complements
JavaScript,Python,0.257,0.544,complements
Azure,JavaScript,0.257,0.371,complements
Ansible,Kubernetes,0.257,0.479,complements
Data Analysis,Machine Learning,0.257,0.548,complements
Java,Spring Boot,0.255,0.479,complements
Angular,Java,0.255,0.424,complements
CI/CD,Terraform,0.255,0.446,complements
Data Analysis,Excel,0.253,0.287,complements
Kafka,Kubernetes,0.253,0.272,complements
Hugging Face,LangChain,0.253,0.366,complements
Cassandra,MongoDB,0.253,0.621,complements
Kafka,Microservices,0.252,0.286,complements
Databricks,MLflow,0.252,0.286,complements
Agile / Scrum,Kanban,0.252,0.376,complements
JavaScript,Kubernetes,0.252,0.248,complements
Node.js,Scala,0.251,0.46,complements
GitLab,Jenkins,0.251,0.572,complements
Datadog,Grafana,0.249,0.423,complements
Kafka,Redis,0.249,0.324,complements
Data Visualization,Data Warehousing,0.249,0.382,complements
Data Visualization,Machine Learning,0.249,0.255,complements
Microservices,Node.js,0.249,0.385,complements
Data Visualization,Python,0.248,0.292,complements
Cassandra,Scala,0.248,0.289,complements
SQL,Spark,0.248,0.237,complements
Angular,Node.js,0.247,0.387,complements
Agile / Scrum,Git,0.247,0.238,complements
Java,Spark,0.247,0.258,complements
Agile / Scrum,GCP,0.244,0.151,complements
GCP,Go,0.244,0.333,complements
Excel,Tableau,0.243,0.373,complements
Ansible,Bash,0.243,0.371,complements
Go,Terraform,0.243,0.567,complements
Go,Microservices,0.243,0.472,complements
REST API,React,0.243,0.505,complements
DevOps,Git,0.243,0.343,complements
SQL,Scala,0.242,0.374,complements
JavaScript,NoSQL,0.242,0.233,complements
AWS,React,0.24,0.097,complements
LLMs / GenAI,Machine Learning,0.24,0.338,complements
Git,REST API,0.24,0.235,complements
Data Warehousing,Hive,0.24,0.337,complements
Data Governance,Data Visualization,0.239,0.223,complements
Go,SQL,0.239,0.344,complements
Oracle,SQL,0.239,0.597,complements
Java,REST API,0.238,0.373,complements
Jupyter,TensorFlow,0.238,0.139,complements
Ansible,DevOps,0.238,0.466,complements
Data Visualization,Statistical Analysis,0.238,0.527,complements
REST API,XML,0.238,0.424,complements
Kafka,MySQL,0.237,0.283,complements
FastAPI,Flask,0.237,0.821,substitutes
Java,TypeScript,0.237,0.406,complements
Docker,React,0.237,0.233,complements
GCP,Scala,0.237,0.375,complements
Agile / Scrum,Go,0.237,0.155,complements
Hadoop,Machine Learning,0.237,0.203,complements
Ansible,Python,0.236,0.336,complements
Microservices,REST API,0.236,0.501,complements
AWS,Spark,0.236,0.461,complements
Active Directory,PowerShell,0.236,0.396,complements
Docker,HTML,0.236,0.16,complements
Bash,Python,0.236,0.566,complements
Data Modeling,Power BI,0.236,0.435,complements
CI/CD,GitLab,0.236,0.344,complements
CI/CD,Java,0.236,0.311,complements
Microservices,Spring Boot,0.236,0.554,complements
SAS,Tableau,0.236,0.352,complements
Big Data,Hive,0.236,0.517,complements
Angular,REST API,0.235,0.476,complements
Data Analysis,Data Modeling,0.235,0.467,complements
Cassandra,Redis,0.234,0.428,complements
ETL,SQL,0.234,0.369,complements
GraphQL,React,0.234,0.323,complements
Agile / Scrum,Unit Testing,0.234,0.235,complements
Python,Tableau,0.233,0.416,complements
Bash,Terraform,0.233,0.286,complements
GitHub,Jenkins,0.233,0.278,complements
GCP,SQL,0.232,0.16,complements
Angular,Microservices,0.232,0.387,complements
JavaScript,Microservices,0.232,0.474,complements
Machine Learning,SQL,0.232,0.182,complements
Python,TensorFlow,0.232,0.15,complements
JavaScript,PHP,0.231,0.824,substitutes
Big Data,Python,0.231,0.321,complements
GitLab,Terraform,0.231,0.456,complements
PowerShell,VMware,0.231,0.17,complements
NoSQL,TypeScript,0.23,0.15,complements
Ansible,Docker,0.23,0.368,complements
NoSQL,Redshift,0.23,0.339,complements
HTML,REST API,0.23,0.499,complements
Data Warehousing,Scala,0.228,0.204,complements
PostgreSQL,React,0.228,0.277,complements
Azure,Microservices,0.228,0.44,complements
Microservices,TypeScript,0.228,0.204,complements
CISSP,Incident Response,0.228,0.338,complements
CI/CD,REST API,0.228,0.156,complements
Git,Java,0.228,0.366,complements
Azure,CI/CD,0.227,0.196,complements
AWS,Kafka,0.227,0.347,complements
HTML,Node.js,0.227,0.345,complements
AWS,Git,0.227,0.27,complements
Fivetran,Prefect,0.226,0.46,complements
Data Pipeline,Data Warehousing,0.226,0.354,complements
Bash,Linux,0.226,0.398,complements
Prometheus,Terraform,0.225,0.23,complements
Kafka,Python,0.225,0.298,complements
CI/CD,Microservices,0.225,0.364,complements
Cybersecurity,Penetration Testing,0.225,0.589,complements
Agile / Scrum,REST API,0.224,0.014,complements
Data Analysis,Data Warehousing,0.224,0.347,complements
Git,Python,0.224,0.316,complements
CSS,TypeScript,0.224,0.496,complements
Databricks,Spark,0.224,0.671,complements
Hadoop,Java,0.224,0.189,complements
Agile / Scrum,React,0.223,0.005,complements
Alteryx,Tableau,0.223,0.636,complements
PowerShell,Python,0.223,0.411,complements
AWS,Jenkins,0.223,0.354,complements
Hadoop,SQL,0.222,0.261,complements
MySQL,NoSQL,0.222,0.389,complements
Distributed Systems,Go,0.222,0.414,complements
Microservices,SQL,0.222,0.147,complements
MongoDB,React,0.221,0.271,complements
Agile / Scrum,Angular,0.221,0.072,complements
Git,Kubernetes,0.221,0.246,complements
Alteryx,SAS,0.22,0.41,complements
Agile / Scrum,Scala,0.22,0.09,complements
Big Data,Data Pipeline,0.22,0.398,complements
Data Warehousing,Power BI,0.22,0.487,complements
PyTorch,Python,0.219,0.15,complements
Git,SQL,0.219,0.251,complements
Go,JavaScript,0.219,0.659,complements
Flink,Kafka,0.218,0.661,complements
Excel,Power BI,0.218,0.466,complements
Ansible,Prometheus,0.218,0.259,complements
Git,HTML,0.218,0.28,complements
HTML,NoSQL,0.217,0.249,complements
Data Warehousing,Tableau,0.217,0.375,complements
DevOps,SQL,0.217,0.129,complements
Java,React,0.216,0.322,complements
PowerShell,Terraform,0.216,0.269,complements
NumPy,PyTorch,0.216,0.206,complements
Kubernetes,React,0.215,0.099,complements
Docker,PostgreSQL,0.215,0.092,complements
DevOps,Java,0.215,0.404,complements
Flink,Spark,0.215,0.686,complements
Looker,Tableau,0.214,0.785,substitutes
GitHub,Kubernetes,0.214,0.241,complements
Snowflake,dbt,0.214,0.587,complements
Distributed Systems,Kubernetes,0.214,0.421,complements
Jenkins,Spring,0.214,0.295,complements
Git,Linux,0.214,0.366,complements
Data Modeling,Snowflake,0.213,0.485,complements
PostgreSQL,Redis,0.213,0.368,complements
Jenkins,Jira,0.213,0.305,complements
GCP,Microservices,0.212,0.44,complements
Burp Suite,OWASP,0.212,0.574,complements
Git,React,0.212,0.225,complements
HTML,XML,0.212,0.566,complements
Confluence,Git,0.212,0.412,complements
Microservices,React,0.211,0.277,complements
Penetration Testing,SIEM,0.211,0.296,complements
AWS,HTML,0.211,0.227,complements
Bash,PowerShell,0.211,0.683,complements
Python,Snowflake,0.21,0.387,complements
Angular,Spring,0.209,0.394,complements
Node.js,REST API,0.209,0.46,complements
Big Data,Redshift,0.209,0.337,complements
C#,HTML,0.208,0.427,complements
Java,Machine Learning,0.208,0.187,complements
Azure,TypeScript,0.208,0.151,complements
Agile / Scrum,Confluence,0.208,0.305,complements
Jenkins,Python,0.208,0.447,complements
JavaScript,XML,0.207,0.473,complements
AWS,Machine Learning,0.207,0.09,complements
Angular,C#,0.207,0.398,complements
Agile / Scrum,Jenkins,0.207,0.229,complements
GraphQL,REST API,0.207,0.441,complements
Agile / Scrum,CSS,0.206,0.108,complements
REST API,Unit Testing,0.206,0.113,complements
Kubernetes,PostgreSQL,0.206,0.049,complements
Data Analysis,Data Governance,0.206,0.31,complements
HTML,Kubernetes,0.206,0.126,complements
Machine Learning,Scala,0.206,0.159,complements
R,Statistical Analysis,0.206,0.267,complements
HTML,Microservices,0.205,0.28,complements
Databricks,Jupyter,0.205,0.18,complements
A/B Testing,R,0.205,0.117,complements
Java,Linux,0.205,0.402,complements
NoSQL,Snowflake,0.204,0.371,complements
Ansible,PowerShell,0.204,0.473,complements
GCP,Node.js,0.204,0.268,complements
CSS,PHP,0.204,0.561,complements
Node.js,Python,0.204,0.307,complements
SQL,Snowflake,0.204,0.444,complements
XML,jQuery,0.204,0.338,complements
Cassandra,Java,0.204,0.159,complements
Azure,HTML,0.203,0.227,complements
C++,MATLAB,0.203,0.488,complements
REST API,Spring,0.203,0.352,complements
JavaScript,MySQL,0.203,0.3,complements
Elasticsearch,Redis,0.203,0.396,complements
AWS,Hadoop,0.203,0.43,complements
MySQL,Snowflake,0.202,0.414,complements
Angular,jQuery,0.202,0.448,complements
Deep Learning,Python,0.202,0.088,complements
GCP,Spark,0.202,0.461,complements
Burp Suite,Penetration Testing,0.202,0.387,complements
Prompt Engineering,Vector Databases,0.202,0.286,complements
Docker,Kafka,0.202,0.153,complements
JSON,JavaScript,0.202,0.379,complements
Node.js,SQL,0.202,0.147,complements
GraphQL,Node.js,0.202,0.384,complements
Docker,Scala,0.201,0.311,complements
Docker,GitLab,0.201,0.324,complements
Data Pipeline,Scala,0.201,0.412,complements
Git,PostgreSQL,0.201,0.251,complements
Java,MySQL,0.201,0.343,complements
AWS,PostgreSQL,0.201,0.128,complements
CI/CD,JavaScript,0.201,0.389,complements
CSS,REST API,0.201,0.57,complements
HTML,PHP,0.201,0.591,complements
Airflow,Kafka,0.2,0.362,complements
Data Governance,Power BI,0.2,0.259,complements
MongoDB,NoSQL,0.2,0.614,complements
Microservices,Python,0.2,0.286,complements
Airflow,Data Pipeline,0.2,0.605,complements
Kubernetes,Scala,0.199,0.284,complements
Dagster,dbt,0.199,0.464,complements
Docker,GitHub,0.199,0.225,complements
JavaScript,PostgreSQL,0.199,0.3,complements
Hive,Python,0.198,0.34,complements
GCP,TypeScript,0.198,0.151,complements
CI/CD,GitHub,0.198,0.32,complements
Data Modeling,Tableau,0.198,0.36,complements
Data Pipeline,Python,0.198,0.465,complements
Angular,SQL,0.198,0.212,complements
Data Visualization,Excel,0.197,0.441,complements
Data Warehousing,Python,0.197,0.322,complements
GitLab,Kubernetes,0.196,0.387,complements
.NET,SQL,0.196,0.222,complements
Ruby,Terraform,0.195,0.351,complements
MySQL,Spark,0.195,0.24,complements
Data Pipeline,Snowflake,0.195,0.391,complements
AWS,MySQL,0.195,0.128,complements
Angular,Docker,0.195,0.207,complements
.NET,JavaScript,0.195,0.547,complements
Ansible,Ruby,0.195,0.333,complements
CSS,Git,0.194,0.366,complements
REST API,SQL,0.194,0.303,complements
REST API,Spring Boot,0.194,0.377,complements
ETL,SSIS,0.194,0.494,complements
Python,Ruby,0.193,0.505,complements
AWS,REST API,0.193,0.272,complements
Kubernetes,Prometheus,0.193,0.284,complements
Azure,Node.js,0.193,0.268,complements
DynamoDB,MongoDB,0.192,0.722,complements
Azure,Spark,0.192,0.461,complements
Kubernetes,Linux,0.192,0.333,complements
Machine Learning,Pandas,0.192,0.183,complements
SQL,TypeScript,0.192,0.263,complements
Big Data,NoSQL,0.192,0.299,complements
Azure,Windows,0.191,0.501,complements
Azure,Scala,0.19,0.375,complements
MySQL,Python,0.19,0.363,complements
Angular,Vue,0.19,0.546,complements
Ansible,Linux,0.19,0.384,complements
GCP,Machine Learning,0.19,0.09,complements
Machine Learning,NumPy,0.19,0.111,complements
Angular,Git,0.19,0.189,complements
Ansible,GitLab,0.19,0.441,complements
Kafka,Spring Boot,0.189,0.286,complements
JavaScript,Unit Testing,0.189,0.306,complements
GCP,JavaScript,0.189,0.371,complements
Cassandra,Data Warehousing,0.189,0.268,complements
Big Data,Kafka,0.189,0.309,complements
Microservices,Spring,0.189,0.511,complements
Bash,GitLab,0.188,0.348,complements
Data Warehousing,Machine Learning,0.188,0.296,complements
MongoDB,Node.js,0.188,0.239,complements
DevOps,Microservices,0.188,0.446,complements
GitLab,Prometheus,0.187,0.21,complements
Azure,Databricks,0.187,0.506,complements
JavaScript,MongoDB,0.187,0.355,complements
CSS,Figma,0.187,0.39,complements
A/B Testing,Tableau,0.186,0.163,complements
AWS,Angular,0.186,0.178,complements
CSS,SQL,0.186,0.242,complements
Azure,C#,0.186,0.267,complements
AWS,Cassandra,0.186,0.389,complements
Data Modeling,Data Pipeline,0.186,0.416,complements
Python,Redshift,0.185,0.402,complements
Grafana,Terraform,0.185,0.242,complements
Data Analysis,Statistical Analysis,0.185,0.45,complements
Bash,Prometheus,0.185,0.272,complements
Kafka,SQL,0.185,0.259,complements
Pandas,PyTorch,0.185,0.167,complements
CI/CD,Kafka,0.185,0.15,complements
C#,C++,0.185,0.545,complements
MySQL,Oracle,0.184,0.64,complements
Docker,Linux,0.184,0.365,complements
CSS,Java,0.184,0.303,complements
MySQL,Redis,0.184,0.368,complements
Azure,Go,0.184,0.333,complements
Data Warehousing,NoSQL,0.184,0.331,complements
Data Warehousing,Kafka,0.184,0.311,complements
Cybersecurity,SIEM,0.184,0.386,complements
Ansible,CI/CD,0.183,0.599,complements
Azure,Git,0.183,0.27,complements
Angular,Azure,0.183,0.178,complements
Bash,Jenkins,0.183,0.436,complements
Kubernetes,Redis,0.183,0.244,complements
Data Governance,SQL,0.183,0.27,complements
Data Pipeline,Databricks,0.183,0.409,complements
Bash,Kubernetes,0.183,0.297,complements
Kafka,PostgreSQL,0.183,0.283,complements
Active Directory,Azure,0.183,0.442,complements
Azure,Terraform,0.182,0.54,complements
CI/CD,SQL,0.182,0.101,complements
C#,DevOps,0.182,0.352,complements
AWS Security,CISSP,0.182,0.282,complements
Databricks,Snowflake,0.182,0.443,complements
Prefect,dbt,0.182,0.385,complements
Jira,SQL,0.182,0.18,complements
DevOps,JavaScript,0.181,0.373,complements
Angular,PostgreSQL,0.181,0.22,complements
Big Data,SQL,0.181,0.224,complements
C#,CSS,0.18,0.397,complements
REST API,TypeScript,0.18,0.373,complements
Agile / Scrum,Data Analysis,0.18,0.132,complements
Prometheus,Splunk,0.18,0.381,complements
LLMs / GenAI,Vector Databases,0.18,0.324,complements
Data Pipeline,Machine Learning,0.18,0.284,complements
AWS,Linux,0.18,0.474,complements
Docker,REST API,0.179,0.302,complements
Azure,PowerShell,0.179,0.192,complements
Azure,Machine Learning,0.179,0.09,complements
Big Data,Java,0.179,0.206,complements
DynamoDB,PostgreSQL,0.179,0.489,complements
DevOps,GitHub,0.179,0.312,complements
PyTorch,XGBoost,0.179,0.373,complements
Machine Learning,Tableau,0.178,0.192,complements
Angular,Spring Boot,0.178,0.415,complements
ETL,Power BI,0.178,0.305,complements
Azure,REST API,0.178,0.272,complements
DevOps,Linux,0.178,0.431,complements
Java,Kotlin,0.178,0.57,complements
Go,HTML,0.178,0.439,complements
Python,TypeScript,0.178,0.442,complements
HTML,JSON,0.178,0.414,complements
CI/CD,Unit Testing,0.177,0.631,complements
ETL,Snowflake,0.177,0.251,complements
LLMs / GenAI,PyTorch,0.177,0.253,complements
LLMs / GenAI,LangChain,0.176,0.27,complements
A/B Testing,Data Visualization,0.176,0.156,complements
Airflow,Redshift,0.176,0.386,complements
CISSP,Risk Management,0.176,0.339,complements
AWS,Distributed Systems,0.176,0.311,complements
Helm,Kubernetes,0.176,0.53,complements
C#,jQuery,0.176,0.241,complements
C++,Machine Learning,0.176,0.102,complements
Docker,Redis,0.176,0.231,complements
Jira,Kanban,0.176,0.418,complements
React,Vue,0.176,0.969,substitutes
BigQuery,Looker,0.176,0.491,complements
Cassandra,Microservices,0.175,0.222,complements
GCP,Hadoop,0.175,0.43,complements
SQL,Unit Testing,0.175,0.131,complements
Big Data,Snowflake,0.175,0.349,complements
CI/CD,React,0.175,0.201,complements
Java,Unit Testing,0.175,0.245,complements
Go,Ruby,0.174,0.558,complements
Jenkins,REST API,0.174,0.231,complements
Linux,VMware,0.174,0.539,complements
Data Pipeline,Hadoop,0.174,0.38,complements
AWS,Snowflake,0.174,0.433,complements
DevOps,Jira,0.174,0.407,complements
CSS,Node.js,0.174,0.395,complements
C#,Git,0.174,0.35,complements
Go,PowerShell,0.173,0.33,complements
Agile / Scrum,C#,0.173,0.169,complements
Agile / Scrum,Linux,0.173,0.122,complements
Kafka,MongoDB,0.173,0.333,complements
Machine Learning,NoSQL,0.173,0.132,complements
Alteryx,R,0.173,0.512,complements
AWS,Hive,0.173,0.301,complements
DevOps,PowerShell,0.172,0.348,complements
Jenkins,Linux,0.172,0.321,complements
