role,role_label,job_family,postings,companies,median_salary,salary_companies,pct_senior_or_above,pct_flexible_when_stated,pct_stated_worksite,top_skills,example_title,example_company,description,summary
backend engineer,Backend Engineer,engineering,573,70,171150.0,20,97.4,98.9,82.9,"AWS, Java, Node.js, Microservices, Kubernetes, Redis","Senior Backend Engineer, Seed Stage Fintech",Recruiting from Scratch,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
https://www.recruitingfromscratch.com/
About Our Client
We are solving some of the most challenging data integration, data management and data visualization problems in the private investment markets industry with a revolutionary product that brings together investment sourcing, deal management, portfolio management and finance capabilities in one end-to-end platform. Our backend was built by a team who have worked together at three of the most innovative, demanding, data-driven financial institutions in the world – Blackrock, Point72, and Greycroft – and we are ready to add a new backend engineer to our world-class team. If you are passionate about backend development, TypeScript, Node.js, and Cloud technologies, this is a rare opportunity to join a team wh","Backend Engineer postings typically ask you to: Build out real-time analytics and reporting dashboards that are optimized. Design and develop web applications using MVC frameworks, incorporating dependency injection for improved modularity and testability. Work closely with product managers, designers, and other engineers to develop software solutions that meet business needs. Collaborate with cross-functional teams to identify requirements and plan new features."
embedded software engineer,Embedded Software Engineer,engineering,527,209,157250.0,38,79.9,79.0,58.6,"System Design, C++, Linux, Python, MATLAB, Git",Senior Embedded Software Engineer,Recruiting from Scratch,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
https://www.recruitingfromscratch.com/
Our Client
We are deploying software-defined, autonomous metal 3D printing factories around the world, bringing the scalability of software to physical production. Our proprietary technology stack leverages advanced sensing, real-time controls, and data-driven learning to produce digitally-verified, flawless parts at unprecedented speed and cost. Our mission is to make the transformative power of 3D printing available to all industries at scale and unlock the future of innovation.
As a Senior Embedded Software Engineer, you will be responsible for architecting and implementing critical embedded software systems that enable our advanced metal 3D printing systems to operate fully autonomously at high speeds with precision","Embedded Software Engineer postings typically ask you to: Review and provide feedback on software requirements from a verification perspective. Create kernel, bootloader, and DKM projects with Wind River Workbench using VxWorks 7.0. Work with external customers and internal team members to solve complex software and system issues. Perform revision control."
research scientist,Research Scientist,ai,513,208,119478.0,54,26.3,51.7,11.7,"Machine Learning, Data Analysis, Python, Deep Learning, C++, Workday",Research Scientist - Materials Science,QinetiQ,"Job Title: Research Scientist - Materials
Location: Farnborough
Package: Highly Competitive Salary + Benefits Package
Role Type: Full time / Permanent or Fixed Term Contract
Role ID: SF15931
Be part of the QinetiQ journey. Join us as a Research Scientist at our Farnborough site where you will have the opportunity to work with cutting-edge technology and many of the industry’s most brilliant minds.
The Role
As a research scientist, you will have a role that is out of the ordinary and will be responsible for conducting research and development on a range of synthetic biology programmes, and will use your biochemical expertise to provide theoretical and practical inputs across the whole Engineering Biology portfolio. This will offer you a variety of multidisciplinary programmes across a broad spectrum of topic areas within the Functional Materials domain.
Day To Day Responsibilities
Leading and contributing to project delivery, mainly through practical laboratory work.
Being accountable for managing your own time and progress in order to meet agreed goals and deadlines.
Supporting proposal and bid development
Interfacing with customers
Training colleagues on request
Writing risk asses","Research Scientist postings typically ask you to: Maintain accurate records of the work performed and other records required by the projects. Lead a group of Scientists by effectively mentoring, guiding, and supervising personnel. Provide sterile packaging technical assistance for quality and regulatory activities including preparation of technical documents for regulatory filings. Maintain and provide expert knowled."
retail frontend supervisor,Retail Frontend Supervisor,engineering,455,3,46800.0,1,0.0,,0.0,Spring,Retail Front End Supervisor,"Burlington Stores, Inc.","LOCATION
3102 Ross Clark Circle Dothan AL US 36303
Overview
At Burlington, we embrace the many facets of diversity that strengthen our communities where we live and work every day. If you want to grow your retail career with a caring and inclusive organization, come join us as a Burlington Stores
Full-Time
Customer Service Supervisor or Full-Time Selling Floor Supervisor!
As a Retail Front End Supervisor, you’ll be an integral part of the store leadership team, working closely with Store Management in the areas of Merchandising, Customer Service, Operations, and Human Resources. This leadership position is the stepping-stone to a management role within our expanding organization. Are you a self-starter with the ability to supervise store operations efficiently and effectively? If you are a proven leader who understands the value of building strong teams and partnerships to drive results, this is the right opportunity for you!
At Burlington, we live by our Core Values:
Drive Results
Trust & Respect Each Other
Build Teams & Partnerships
Burlington Benefits:
Growth Opportunities
Competitive Pay
Flexible Hours
15-30% Associate Discount
Medical, Dental, and Vision Coverage
Employee Assi","Retail Frontend Supervisor postings typically ask you to: Communicate in a clear, concise manner and listen attentively to others."
test engineer,Test Engineer,qa,434,267,125940.0,56,66.4,43.5,24.9,"Python, C++, Data Analysis, Linux, Excel, MATLAB",Test Engineer Sr,Jabil,"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 250,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world’s leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.
Summary
Direct Test Engineers I& II in operating within area of assigned responsibilities with a high level of efficiency, integrity and enthusiasm, striving to achieve excellence in all endeavors. Designs, develops and maintains test procedures, tester hardware and software for electronic circuit board production.
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.
Leadership And Management Responsibilities
Recruitment and Retention:
Recruit and interview Test Engineers I& II.
Communicate criteria to recruiters for Process Technician p","Test Engineer postings typically ask you to: Manage Schedule, Cost and Quality to complete projects. Plan, Design and Supervise. Manage PJ of entire vehicle development. Build prototype parts, components, system and vehicle for evaluation."
machine learning engineer,Machine Learning Engineer,ai,397,115,178500.0,33,80.6,92.4,49.6,"Machine Learning, Python, Deep Learning, PyTorch, TensorFlow, Big Data",Senior Machine Learning Engineer - AI,Recruiting from Scratch,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
https://www.recruitingfromscratch.com/
Job Description:
We are seeking a highly skilled and experienced Senior Machine Learning Engineer to join our dynamic team. As a Senior Machine Learning Engineer, you will play a crucial role in developing and deploying cutting-edge machine learning models and solutions to solve complex business problems. You will collaborate with cross-functional teams to drive innovation and make a significant impact on our organization.
Responsibilities:
Machine Learning Model Development: Develop, train, and optimize machine learning models using a variety of tools and frameworks.
Data Preparation: Collect, clean, and preprocess data to ensure its quality and suitability for machine learning applications.
Feature Engineering: Create","Machine Learning Engineer postings typically ask you to: Collaborate as part of a cross-functional Agile team to create and enhance software that enables state-of-the-art big data and ML applications. Work collaboratively with data scientists, machine learning engineers, program and product managers in the development of assigned components. Maintain a balanced approach with a 50/50 spli. Write and test software to Lead integration of autonomy algorithms into aircraft (such as autopilots, payloads, or other functional components) or other robotic systems."
fullstack engineer,FullStack Engineer,engineering,333,161,152500.0,30,79.3,90.2,58.3,"TypeScript, React, JavaScript, Node.js, CSS, HTML","Staff Fullstack Engineer, Startup",Recruiting from Scratch,"This role is for a client of Recruiting from Scratch.
Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
Job Description:
Are you an experienced Senior Fullstack Engineer with expertise in Node.js and TypeScript, ready to take on a pivotal role in a rapidly evolving tech environment? Join our client and contribute your skills to drive our product to new heights!
As a Senior Fullstack Engineer, you will play a crucial role in the development and maintenance of their core product. You'll be responsible for designing, implementing, and maintaining complex features across both the frontend and backend, ensuring high performance, scalability, and usability.
Key Responsibilities:
Collaborate with cross-functional teams to design and develop robust, scalable, and efficient software solutions using Node.js and TypeS",FullStack Engineer postings typically ask you to: Oversee the entire spectrum of the software development process. Design flowcharts and write documentation that capture intricate system designs. Work in a collaborative environment to solve complex problems in a meaningful way. Provide thought leadership in programming and software development.
java developer,Java Developer,engineering,325,191,115000.0,17,64.3,54.4,49.2,"Java, Spring, Spring Boot, SQL, AWS, Git",Sr. Java Developer,Central Business Solutions Inc.,"Position Role/Tile: Sr. Java Developer
Location: Charlotte NC & Newark NJ.
In This Role, You Will
Ensure systems are monitored to increase operational efficiency and managed to mitigate risk
See out opportunities to maximize resource utilization and improve processes while reducing cost
Design, develop, test and implement applications and system components, tools and utilities, mdels, simulation and analytics to manage complex business functions using sophisticated technologies
Resolve coding, testing and escalated platform issues of a technically challenging nature
Partner with production support and platform engineering teams effectively
Design, develop and support regulatory platform capabilities, functions and processes
Ensure use of agreed technology/tools and interfaces to ensure smooth integration and platform availability across DEV,SIT, UAT and production
Work with cross functional teams to evaluate solution & implement high visibility business & technology initiatives
Required Qualifications:
5+ years of speciality software engineering experience, or equivalent demonstrated through one or a combination of the following work experience, training, military experience, educa","Java Developer postings typically ask you to: Develop and maintain documentation, best practices, and guidelines related to monitoring and observability for both technical and non-technical stakeholders. Build highly scalable, low latency, fault-tolerant, and high-performance architecture solutions for customer facing web and mobile applications. Design and develop high-volume low-latency applications for critical systems delivering high-availability and performance. Write well designed testable efficient code and ensure that the designs comply with specifications."
devops engineer,DevOps Engineer,devops,322,193,142000.0,33,70.2,74.5,43.8,"DevOps, CI/CD, Terraform, Kubernetes, Docker, AWS",Senior DevOps Engineer,Recruiting from Scratch,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
https://www.recruitingfromscratch.com/
Job Description:
We are looking for an experienced Senior DevOps Engineer to join our team and lead the design, implementation, and management of our DevOps processes and infrastructure. As a Senior DevOps Engineer, you will play a critical role in automating and streamlining our software development and deployment pipelines, ensuring the reliability, scalability, and security of our systems.
Responsibilities:
Infrastructure as Code (IaC): Design and maintain infrastructure using IaC tools like Terraform or CloudFormation, ensuring infrastructure is versioned, reproducible, and scalable.
Continuous Integration/Continuous Deployment (CI/CD): Implement and enhance CI/CD pipelines, automate testing, and ensure smooth and e","DevOps Engineer postings typically ask you to: Ensure compliance with industry standards and regulations. Implement CI/CD and DevOps best practices for software application teams and assist in executing the integration and operation processes. Build proactive monitoring and alerting infrastructure services to support operations and system health. Design, build, and implement automation of provisioning, configuration, monitoring, security, and deployment of applications in the automated environments."
automation engineer,Automation Engineer,devops,302,203,123750.0,30,61.6,20.3,26.2,"SQL, Python, Java, CI/CD, System Design, Jenkins",Senior Automation Engineer,Repligen Corporation,"Overview
The Senior Automation Engineer will be responsible for the design, testing, deployment, and maintenance of Repligen’s internal automation strategy and infrastructure. She or he will be expected to lead Repligen’s automation, digitization, and digital transformation efforts at the site level. The successful candidate will actively work with all levels of personnel in Engineering, Manufacturing, Facilities, Quality Assurance, Quality Control, and R&D departments. The job is based at our Marlborough, MA facility. Minimal travel required, if any.
Responsibilities
Responsibilities
Program and troubleshoot PLCs, HMIs, and SCADA systems
Develop IIoT-centric solutions for data acquisition
Lead efforts to digitize existing manufacturing and documentation processes
Lead digital transformation of operations through leveraging of operational data
Partner with site subject matter experts (SMEs) in designing and deploying automated alternatives to manual operations
Develop, maintain, and execute design documents, technical evaluations, test plans, and validation protocols for Automation assets
Provide automation expertise and guidance to internal and external design teams
Function as au","Automation Engineer postings typically ask you to: Develop User Requirement Specifications. Develop software and hardware design specifications. Design, write, implement, test and document PLC and HMI software. Develop control system validation/testing protocols."
solutions architect,Solutions Architect,engineering,301,186,158900.0,23,31.2,62.1,28.9,"Azure, AWS, SQL, JavaScript, Java, React",Senior Solutions Architect,UST,"Job Description
Senior Solutions Architect
Architect II - Enterprise Solutions
Who We Are
Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.
UST is a mission-driven group of over 39,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.
With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world.
Visit us at UST.com .
You Are
UST is searching for a Senior Solutions Architect who will review, design, and optimize applications transforming into scalable solutions in ERP/CRM systems. Select appropriate technical options for development such as reusing, improving, or reconfiguration existing components.
The Opportunity
Hybrid-In office/remote
Identify the problem patterns and improve the technical design of the application/sys","Solutions Architect postings typically ask you to: Lead efforts in defining, documenting and estimating the following for enterprise applications. Review all training requirements from the Solution Architects. Support design meetings with Software Developers, Software Engineers, Solution Architects, and UI Engineers. Work in a fast, dynamic environment."
product designer,Product Designer,design_ux,281,183,161667.0,64,87.2,87.4,33.8,"Figma, User Research, Prototyping, CSS, HTML, Datadog",Product Designer,Publishers Clearing House (PCH) Media,"WE NEED:
A motivated and proven product designer to
help refresh the legacy of a 70-year-old company. You’ll help bring the magic of what PCH offers -an incredible chance to win and change your life – to a larger, more diverse audience by creating rich, repeatable, rewarded experiences
YOU ARE:
An experienced Product Designer, well versed at delivering work that consistently meets/exceeds expectations; you embrace best-in-class UX and provide a clean, modern aesthetic that excites customers and makes them want to come back day after day.
ROLE SNAPSHOT
:
Collaborate with key stakeholders to translate business goals into unique product experiences
Define the user experience, interactions, and user interface through user flows, information architecture, sketches and wireframes and visual design
Design simple, data-driven, user-centric experiences that surprise and delight customers
Build functional prototypes to demonstrate, validate and test your designs
Present designs, prototypes and concepts to cross-functional partners and stakeholders
Provide implementation guidance to the Creative Development team and ensure new features launch at the highest quality
Stay abreast of industry tr","Product Designer postings typically ask you to: Create exceptional designs with a user-centric focus. Own the entire design cycle from ideation to implementation and iteration of the investment product. Provide and solicit feedback to continually raise our bar for quality. Collaborate closely with cross-functional teams, including product managers, engineers, and stakeholders, to define and execute design strategies."
site reliability engineer,Site Reliability Engineer,devops,273,147,160550.0,33,60.8,69.3,27.5,"Kubernetes, AWS, DevOps, Python, Linux, Terraform",Senior Site Reliability Engineer (SRE),Syrinx Consulting,"Senior Site Reliability Engineer (SRE)
This role is based in Columbus, OH with a Syrinx Educational Technology Partner
U.S. Citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time.
Need someone with deep understanding/experience with AWS.
Will only entertain candidates with a software development background (Java, Go C#)
The Responsibilities Will Entail These Core Functions
Hands-on design, analysis and troubleshooting of highly-distributed large-scale production systems
Ownership of reliability, uptime, capacity- and performance analysis thereof
Ensuring the repeatability, traceability, and transparency of our infrastructure automation
Identifying highest-impact opportunities to optimize existing systems
System design consulting for teams seeking to leverage or improve their production infrastructure
Anticipate, build and plan capacity for upcoming product/feature launches
Possess a strong desire to learn the environment with ability and focus to improve it
The ideal candidate shall possess (or demonstrate competencies to learn) these diverse skills:
Experience in understanding the simplest solution, and focusing on the most","Site Reliability Engineer postings typically ask you to: Partner with IT Embedded Risk Managers to identify strategic solutions for risk incidents. Ensure NFRs are raised, properly defined and prioritized as part of delivery. Review all Controls and Alerting for new delivery and ensure it meets operational standards. Test NFRs in UAT environments to validate effectiveness and completeness of operational capabilities."
